"age"	"workclass"	"education"	"educationNum"	"maritalStatus"	"occupation"	"relationship"	"race"	"sex"	"nativeCountry"
38	"Private"	"Prof-school"	15	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
56	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	"Canada"
28	"Private"	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Wife"	"White"	"Female"	"United-States"
36	"Private"	"HS-grad"	9	"Never-married"	"Machine-op-inspct"	"Own-child"	"White"	"Female"	"United-States"
53	"Private"	"9th"	5	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"White"	"Male"	"United-States"
56	"Self-emp-inc"	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
49	"Local-gov"	"Assoc-voc"	11	"Married-civ-spouse"	"Craft-repair"	"Husband"	"Black"	"Male"	"United-States"
55	"Private"	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
22	"Private"	"HS-grad"	9	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
21	"Private"	"Some-college"	10	"Never-married"	"Other-service"	"Own-child"	"White"	"Female"	"United-States"
40	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
30	"Private"	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Own-child"	"Black"	"Male"	"Germany"
29	"State-gov"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
19	"Private"	"Some-college"	10	"Never-married"	"Other-service"	"Own-child"	"Black"	"Male"	"United-States"
47	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Wife"	"White"	"Female"	"United-States"
20	"Private"	"Some-college"	10	"Never-married"	"Adm-clerical"	"Own-child"	"White"	"Female"	"United-States"
31	"Private"	"Assoc-acdm"	12	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	"United-States"
39	"Private"	"Some-college"	10	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
28	"Private"	"Assoc-acdm"	12	"Never-married"	"Sales"	"Not-in-family"	"White"	"Female"	"United-States"
24	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Not-in-family"	"White"	"Female"	"United-States"
38	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
37	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
46	"Private"	"Assoc-acdm"	12	"Divorced"	"Tech-support"	"Not-in-family"	"Black"	"Female"	"United-States"
38	"Federal-gov"	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"Iran"
43	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
27	"Private"	"Assoc-voc"	11	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"White"	"Female"	"United-States"
20	"Private"	"Some-college"	10	"Never-married"	"Sales"	"Own-child"	"White"	"Male"	"United-States"
49	"Private"	"Some-college"	10	"Married-civ-spouse"	"Craft-repair"	"Husband"	"Asian-Pac-Islander"	"Male"	"United-States"
61	"Self-emp-inc"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
27	"Private"	"Some-college"	10	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	"United-States"
19	"Private"	"Some-college"	10	"Never-married"	"Other-service"	"Own-child"	"White"	"Male"	"Mexico"
45	"Private"	"Assoc-voc"	11	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
70	"Private"	"Some-college"	10	"Never-married"	"Tech-support"	"Other-relative"	"White"	"Male"	"United-States"
31	"Private"	"HS-grad"	9	"Never-married"	"Transport-moving"	"Unmarried"	"Black"	"Female"	"United-States"
22	"Private"	"Some-college"	10	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	"United-States"
36	"Private"	"HS-grad"	9	"Widowed"	"Other-service"	"Unmarried"	"White"	"Female"	"United-States"
64	"Private"	"11th"	7	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
47	"Local-gov"	"Some-college"	10	"Divorced"	"Adm-clerical"	"Unmarried"	"White"	"Female"	"Mexico"
34	"Private"	"HS-grad"	9	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
33	"Private"	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Other-relative"	"Asian-Pac-Islander"	"Female"	"Philippines"
21	"Private"	"HS-grad"	9	"Never-married"	"Craft-repair"	"Own-child"	"White"	"Male"	"United-States"
48	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
23	"Private"	"Bachelors"	13	"Never-married"	"Handlers-cleaners"	"Not-in-family"	"White"	"Male"	"United-States"
71	"Self-emp-not-inc"	"Some-college"	10	"Separated"	"Sales"	"Unmarried"	"Black"	"Male"	"United-States"
29	"Private"	"HS-grad"	9	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
42	"Private"	"Bachelors"	13	"Separated"	"Other-service"	"Other-relative"	"Black"	"Male"	"United-States"
25	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Unmarried"	"White"	"Female"	"United-States"
44	"Self-emp-inc"	"Masters"	14	"Divorced"	"Exec-managerial"	"Unmarried"	"Asian-Pac-Islander"	"Female"	"United-States"
28	"Private"	"HS-grad"	9	"Never-married"	"Exec-managerial"	"Not-in-family"	"Asian-Pac-Islander"	"Female"	"England"
45	"Self-emp-not-inc"	"Masters"	14	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
36	"Private"	"Some-college"	10	"Divorced"	"Other-service"	"Unmarried"	"White"	"Female"	"Mexico"
39	"Federal-gov"	"Assoc-acdm"	12	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Male"	"United-States"
46	"State-gov"	"Masters"	14	"Widowed"	"Protective-serv"	"Unmarried"	"White"	"Male"	"United-States"
18	"Private"	"11th"	7	"Never-married"	"Handlers-cleaners"	"Own-child"	"White"	"Male"	"United-States"
66	"Local-gov"	"Assoc-voc"	11	"Widowed"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
27	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Not-in-family"	"White"	"Male"	"United-States"
28	"State-gov"	"HS-grad"	9	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	"United-States"
51	"Private"	"Some-college"	10	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"United-States"
27	"Private"	"Bachelors"	13	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
28	"State-gov"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
27	"Private"	"HS-grad"	9	"Married-spouse-absent"	"Sales"	"Unmarried"	"White"	"Female"	"United-States"
21	"Private"	"HS-grad"	9	"Never-married"	"Craft-repair"	"Own-child"	"Black"	"Male"	"United-States"
34	"Private"	"HS-grad"	9	"Never-married"	"Handlers-cleaners"	"Not-in-family"	"Black"	"Male"	"United-States"
18	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Own-child"	"White"	"Male"	"United-States"
33	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
44	"Local-gov"	"Some-college"	10	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"Black"	"Male"	"United-States"
43	"Private"	"Some-college"	10	"Divorced"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
30	"Private"	"Some-college"	10	"Never-married"	"Craft-repair"	"Not-in-family"	"Black"	"Male"	"United-States"
40	"Private"	"7th-8th"	4	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"Mexico"
37	"Federal-gov"	"Some-college"	10	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	"United-States"
34	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"Black"	"Male"	"United-States"
41	"Self-emp-not-inc"	"Bachelors"	13	"Divorced"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	"United-States"
31	"Private"	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	"United-States"
58	"State-gov"	"Doctorate"	16	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
38	"Private"	"Some-college"	10	"Divorced"	"Machine-op-inspct"	"Not-in-family"	"Black"	"Female"	"United-States"
24	"Private"	"Some-college"	10	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"United-States"
41	"Local-gov"	"Bachelors"	13	"Married-civ-spouse"	"Craft-repair"	"Husband"	"Black"	"Male"	"United-States"
47	"Private"	"Some-college"	10	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
41	"Federal-gov"	"Bachelors"	13	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
23	"Private"	"5th-6th"	3	"Married-civ-spouse"	"Transport-moving"	"Other-relative"	"White"	"Male"	"Mexico"
36	"Private"	"Some-college"	10	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
40	"Federal-gov"	"Masters"	14	"Never-married"	"Exec-managerial"	"Not-in-family"	"White"	"Female"	"United-States"
35	"Private"	"Masters"	14	"Married-civ-spouse"	"Prof-specialty"	"Other-relative"	"White"	"Male"	"United-States"
24	"Self-emp-not-inc"	"HS-grad"	9	"Never-married"	"Sales"	"Not-in-family"	"White"	"Male"	"United-States"
26	"Private"	"Masters"	14	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
51	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
42	"Local-gov"	"Some-college"	10	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Female"	"United-States"
37	"State-gov"	"HS-grad"	9	"Divorced"	"Adm-clerical"	"Unmarried"	"White"	"Female"	"United-States"
18	"Private"	"11th"	7	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	"United-States"
36	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Other-service"	"Husband"	"Black"	"Male"	"United-States"
35	"Private"	"HS-grad"	9	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
58	"Self-emp-inc"	"HS-grad"	9	"Married-civ-spouse"	"Sales"	"Wife"	"White"	"Female"	"United-States"
17	"Private"	"11th"	7	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	"United-States"
44	"Local-gov"	"HS-grad"	9	"Married-civ-spouse"	"Transport-moving"	"Husband"	"Black"	"Male"	"United-States"
37	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"White"	"Male"	"United-States"
35	"Private"	"Some-college"	10	"Never-married"	"Sales"	"Not-in-family"	"Amer-Indian-Eskimo"	"Female"	"United-States"
60	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Craft-repair"	"Husband"	"Asian-Pac-Islander"	"Male"	"United-States"
54	"Self-emp-inc"	"7th-8th"	4	"Married-civ-spouse"	"Machine-op-inspct"	"Husband"	"White"	"Male"	"United-States"
37	"Private"	"Bachelors"	13	"Never-married"	"Exec-managerial"	"Not-in-family"	"Black"	"Male"	"United-States"
50	"Private"	"Assoc-acdm"	12	"Divorced"	"Sales"	"Not-in-family"	"White"	"Female"	"United-States"
38	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Sales"	"Husband"	"White"	"Male"	"Poland"
45	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
25	"Private"	"10th"	6	"Never-married"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
31	"Private"	"Some-college"	10	"Married-civ-spouse"	"Handlers-cleaners"	"Husband"	"White"	"Male"	"United-States"
90	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Not-in-family"	"Black"	"Male"	"United-States"
54	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"Black"	"Male"	"United-States"
53	"Local-gov"	"Preschool"	1	"Never-married"	"Machine-op-inspct"	"Not-in-family"	"White"	"Female"	"United-States"
18	"Private"	"HS-grad"	9	"Never-married"	"Sales"	"Own-child"	"White"	"Female"	"United-States"
66	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Farming-fishing"	"Husband"	"White"	"Male"	"United-States"
75	"Private"	"Assoc-voc"	11	"Widowed"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"Columbia"
65	"Private"	"HS-grad"	9	"Divorced"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
35	"Private"	"11th"	7	"Separated"	"Transport-moving"	"Not-in-family"	"Black"	"Male"	"United-States"
41	"Private"	"HS-grad"	9	"Divorced"	"Sales"	"Unmarried"	"Black"	"Female"	"United-States"
25	"Private"	"Some-college"	10	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Male"	"United-States"
33	"Private"	"Some-college"	10	"Divorced"	"Craft-repair"	"Other-relative"	"Other"	"Female"	"United-States"
28	"Private"	"Prof-school"	15	"Never-married"	"Prof-specialty"	"Not-in-family"	"White"	"Male"	"United-States"
59	"State-gov"	"HS-grad"	9	"Married-civ-spouse"	"Other-service"	"Husband"	"White"	"Male"	"United-States"
40	"State-gov"	"Some-college"	10	"Never-married"	"Adm-clerical"	"Not-in-family"	"White"	"Female"	"United-States"
41	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"Iran"
38	"Local-gov"	"Masters"	14	"Married-civ-spouse"	"Exec-managerial"	"Husband"	"White"	"Male"	"United-States"
23	"Private"	"HS-grad"	9	"Never-married"	"Transport-moving"	"Own-child"	"White"	"Male"	"United-States"
40	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Prof-specialty"	"Husband"	"White"	"Male"	"United-States"
41	"Self-emp-not-inc"	"HS-grad"	9	"Married-civ-spouse"	"Other-service"	"Wife"	"White"	"Female"	"United-States"
24	"State-gov"	"Assoc-acdm"	12	"Married-civ-spouse"	"Protective-serv"	"Husband"	"White"	"Male"	"United-States"
38	"Private"	"Some-college"	10	"Divorced"	"Craft-repair"	"Not-in-family"	"White"	"Male"	"United-States"
58	"Private"	"HS-grad"	9	"Married-civ-spouse"	"Adm-clerical"	"Husband"	"White"	"Male"	"United-States"
32	"Private"	"HS-grad"	9	"Never-married"	"Other-service"	"Not-in-family"	"White"	"Female"	"United-States"
40	"Private"	"Assoc-acdm"	12	"Married-civ-spouse"	"Tech-support"	"Husband"	"White"	"Male"	"United-States"
41	"Private"	"Prof-school"	15	"Married-civ-spouse"	"Prof-specialty"	"Wife"	"White"	"Female"	"United-States"
42	"Private"	"Bachelors"	13	"Married-civ-spouse"	"Adm-clerical"	"Wife"	"Black"	"Female"	"United-States"
59	"Local-gov"	"10th"	6	"Widowed"	"Other-service"	"Unmarried"	"Black"	"Female"	"United-States"
19	"Local-gov"	"Some-college"	10	"Never-married"	"Adm-clerical"	"Own-child"	"White"	"Male"	"United-States"
